소견,LMB_CODE,TEST_CODE,TV_FLAG,ALBUMIN,ALPHA 1,ALPHA 2,BETA,GAMMA,Total Protein,Liver,Bone,Intestine,Total ALP,MM,MB,BB,Total CK,LD1,LD2,LD3,LD4,LD5,Total LDH,LD1/LD2,ALPHA,Pre-Beta,Beta,Chylomicron,Cholesterol,Triglyceride
LDH0015,0000,00312,,,,,,,,,,,,,,,,NM,IN,NM,NM,NM,IN,NM,,,,,,
LDH0016,0000,00312,,,,,,,,,,,,,,,,NM,NM,IN,NM,NM,IN,NM,,,,,,
LDH0017,0000,00312,,,,,,,,,,,,,,,,NM,NM,NM,IN,NM,IN,NM,,,,,,
LDH0018,0000,00312,,,,,,,,,,,,,,,,NM,NM,NM,NM,IN,IN,NM,,,,,,
LDH0019,0000,00312,,,,,,,,,,,,,,,,IN,IN,NM,NM,NM,IN,NM,,,,,,
LDH0020,0000,00312,,,,,,,,,,,,,,,,NM,IN,IN,NM,NM,IN,NM,,,,,,
LDH0021,0000,00312,,,,,,,,,,,,,,,,NM,NM,IN,IN,NM,IN,NM,,,,,,
LDH0022,0000,00312,,,,,,,,,,,,,,,,NM,NM,IN,NM,IN,IN,NM,,,,,,
LDH0023,0000,00312,,,,,,,,,,,,,,,,NM,NM,NM,IN,IN,IN,NM,,,,,,
LDH0024,0000,00312,,,,,,,,,,,,,,,,NM,NM,IN,IN,IN,IN,NM,,,,,,
no rule for this testCode,0000,00310,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIPO001,0000,00310,,,,,,,,,,,,,,,,,,,,,,,NM,NM,NM,NM,NM,NM
LIPO002,0000,00310,,,,,,,,,,,,,,,,,,,,,,,IN,NM,NM,NM,NM,NM
LIPO002,0000,00310,,,,,,,,,,,,,,,,,,,,,,,IN,NM,NM,NM,IN,NM
LIPO002,0000,00310,,,,,,,,,,,,,,,,,,,,,,,IN,NM,NM,NM,NM,IN
LIPO002,0000,00310,,,,,,,,,,,,,,,,,,,,,,,IN,NM,NM,NM,IN,IN
LIPO006,0000,00310,,,,,,,,,,,,,,,,,,,,,,,NM,IN,NM,NM,NM,NM
LIPO006,0000,00310,,,,,,,,,,,,,,,,,,,,,,,NM,IN,NM,NM,IN,NM
LIPO006,0000,00310,,,,,,,,,,,,,,,,,,,,,,,NM,IN,NM,NM,NM,IN
LIPO006,0000,00310,,,,,,,,,,,,,,,,,,,,,,,NM,IN,NM,NM,IN,IN
LIPO010,0000,00310,,,,,,,,,,,,,,,,,,,,,,,NM,NM,IN,NM,NM,NM
LIPO010,0000,00310,,,,,,,,,,,,,,,,,,,,,,,NM,NM,IN,NM,IN,NM
LIPO010,0000,00310,,,,,,,,,,,,,,,,,,,,,,,NM,NM,IN,NM,NM,IN
LIPO010,0000,00310,,,,,,,,,,,,,,,,,,,,,,,NM,NM,IN,NM,IN,IN
LIPO014,0000,00310,,,,,,,,,,,,,,,,,,,,,,,NM,NM,DE,NM,NM,NM
LIPO014,0000,00310,,,,,,,,,,,,,,,,,,,,,,,NM,NM,DE,NM,IN,NM
LIPO014,0000,00310,,,,,,,,,,,,,,,,,,,,,,,NM,NM,DE,NM,NM,IN
LIPO014,0000,00310,,,,,,,,,,,,,,,,,,,,,,,NM,NM,DE,NM,IN,IN
LIPO018,0000,00310,,,,,,,,,,,,,,,,,,,,,,,NM,NM,NM,IN,IN,NM
,0000,00312,N,,,,,,,,,,,,,,,NM,NM,NM,NM,NM,NM,NM,,,,,,
ALP0001,0000,00312,N,,,,,,,,,,,,,,,NM,NM,NM,NM,NM,NM,NM,,,,,,
no rule for this testCode,0000,00999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP0001,0000,00999,,DE,DE,NM,DE,,,,,,,,,,,,,,,,,,,,,,,
