@RELATION special_immunology

@ATTRIBUTE "LMB_CODE" STRING 
@ATTRIBUTE "TEST_CODE" STRING 
@ATTRIBUTE "SPECIMEN_CODE" STRING 
@ATTRIBUTE "HOSPITAL_CODE" STRING 
@ATTRIBUTE "TV_FLAG"  {Y,N}
@ATTRIBUTE "ALBUMIN"  {DE,NM,SI,IN}
@ATTRIBUTE "ALPHA 1"  {DE,NM,SI,IN}
@ATTRIBUTE "ALPHA 2"  {DE,NM,SI,IN}
@ATTRIBUTE "BETA"  {DE,NM,SI,IN}
@ATTRIBUTE "GAMMA"  {DE,NM,SI,IN}
@ATTRIBUTE "Total Protein"  {DE,NM,SI,IN}
@ATTRIBUTE "Liver"  {DE,NM,SI,IN}
@ATTRIBUTE "Bone"  {DE,NM,SI,IN}
@ATTRIBUTE "Macrohepatic"  {DE,NM,SI,IN}
@ATTRIBUTE "Intestine"  {DE,NM,SI,IN}
@ATTRIBUTE "Total ALP"  {DE,NM,SI,IN}
@ATTRIBUTE "MM"  {DE,NM,SI,IN}
@ATTRIBUTE "MB"  {DE,NM,SI,IN}
@ATTRIBUTE "BB"  {DE,NM,SI,IN}
@ATTRIBUTE "Total CK"  {DE,NM,SI,IN}
@ATTRIBUTE "LD1"  {DE,NM,SI,IN}
@ATTRIBUTE "LD2"  {DE,NM,SI,IN}
@ATTRIBUTE "LD3"  {DE,NM,SI,IN}
@ATTRIBUTE "LD4"  {DE,NM,SI,IN}
@ATTRIBUTE "LD5"  {DE,NM,SI,IN}
@ATTRIBUTE "Total LDH"  {DE,NM,SI,IN}
@ATTRIBUTE "LD1/LD2"  {DE,NM,SI,IN}
@ATTRIBUTE "ALPHA"  {DE,NM,SI,IN}
@ATTRIBUTE "Pre-Beta"  {DE,NM,SI,IN}
@ATTRIBUTE "Beta"  {DE,NM,SI,IN}
@ATTRIBUTE "Chylomicron"  {DE,NM,SI,IN}
@ATTRIBUTE "Cholesterol"  {DE,NM,SI,IN}
@ATTRIBUTE "Triglyceride"  {DE,NM,SI,IN}
@ATTRIBUTE "rdr_class" STRING 

@DATA
0000,00309,?,?,?,?,NM,SI,NM,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP027
0000,00309,?,?,?,?,NM,IN,NM,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP027
0000,00309,?,?,?,?,NM,NM,SI,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP030
0000,00309,?,?,?,?,NM,NM,IN,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP031
0000,00309,?,?,?,?,NM,NM,SI,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP031
0000,00309,?,?,?,?,NM,NM,IN,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP031
0000,00309,?,?,?,?,SI,SI,SI,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP034
0000,00309,?,?,?,?,IN,IN,IN,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP035
0000,00309,?,?,?,?,SI,IN,IN,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP035
0000,00309,?,?,?,?,IN,SI,IN,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP035
0000,00309,?,?,?,?,IN,IN,SI,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP035
0000,00309,?,?,?,?,SI,SI,IN,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP035
0000,00309,?,?,?,?,SI,IN,SI,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP035
0000,00309,?,?,?,?,IN,SI,SI,NM,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP035
0000,00309,?,?,?,?,NM,SI,SI,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP042
0000,00309,?,?,?,?,NM,IN,IN,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP043
0000,00309,?,?,?,?,NM,SI,IN,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP043
0000,00309,?,?,?,?,NM,IN,SI,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP043
0000,00309,?,?,?,?,NM,IN,IN,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP043
0000,00309,?,?,?,?,NM,SI,SI,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP043
0000,00309,?,?,?,?,NM,SI,IN,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP043
0000,00309,?,?,?,?,NM,IN,SI,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP043
0000,00309,?,?,?,?,SI,SI,NM,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP050
0000,00309,?,?,?,?,IN,IN,NM,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP051
0000,00309,?,?,?,?,SI,IN,NM,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP051
0000,00309,?,?,?,?,IN,SI,NM,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP051
0000,00309,?,?,?,?,IN,IN,NM,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP051
0000,00309,?,?,?,?,SI,SI,NM,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP051
0000,00309,?,?,?,?,SI,IN,NM,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP051
0000,00309,?,?,?,?,IN,SI,NM,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP051
0000,00309,?,?,?,?,SI,NM,SI,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP058
0000,00309,?,?,?,?,IN,NM,IN,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP059
0000,00309,?,?,?,?,SI,NM,IN,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP059
0000,00309,?,?,?,?,IN,NM,SI,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP059
0000,00309,?,?,?,?,IN,NM,IN,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP059
0000,00309,?,?,?,?,SI,NM,SI,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP059
0000,00309,?,?,?,?,SI,NM,IN,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP059
0000,00309,?,?,?,?,IN,NM,SI,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP059
0000,00309,?,?,?,?,SI,SI,SI,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP066
0000,00309,?,?,?,?,IN,IN,IN,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP067
0000,00309,?,?,?,?,SI,IN,IN,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP067
0000,00309,?,?,?,?,IN,SI,IN,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP067
0000,00309,?,?,?,?,IN,IN,SI,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP067
0000,00309,?,?,?,?,IN,IN,IN,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP067
0000,00309,?,?,?,?,SI,SI,IN,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP067
0000,00309,?,?,?,?,SI,IN,SI,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP067
0000,00309,?,?,?,?,SI,IN,IN,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP067
0000,00309,?,?,?,?,IN,SI,SI,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP067
0000,00309,?,?,?,?,IN,SI,IN,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP067
0000,00309,?,?,?,?,IN,IN,SI,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP067
0000,00309,?,?,?,?,SI,SI,SI,IN,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP067
0000,00309,?,?,?,?,SI,SI,IN,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP067
0000,00309,?,?,?,?,IN,SI,SI,SI,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP067
0000,00309,?,?,?,?,NM,NM,NM,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP081
0000,00309,?,?,?,?,SI,NM,NM,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP082
0000,00309,?,?,?,?,IN,NM,NM,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP083
0000,00309,?,?,?,?,NM,SI,NM,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP084
0000,00309,?,?,?,?,NM,IN,NM,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP085
0000,00309,?,?,?,?,NM,NM,SI,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP086
0000,00309,?,?,?,?,NM,NM,IN,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP087
0000,00309,?,?,?,?,SI,SI,NM,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP088
0000,00309,?,?,?,?,IN,IN,NM,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP089
0000,00309,?,?,?,?,SI,IN,NM,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP089
0000,00309,?,?,?,?,IN,SI,NM,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP089
0000,00309,?,?,?,?,SI,NM,SI,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP092
0000,00309,?,?,?,?,IN,NM,IN,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP093
0000,00309,?,?,?,?,SI,NM,IN,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP093
0000,00309,?,?,?,?,IN,NM,SI,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP093
0000,00309,?,?,?,?,NM,SI,SI,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP096
0000,00309,?,?,?,?,NM,IN,IN,DE,NM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SPEP097
